claimReviewed,itemReviewed.author.name,itemReviewed.datePublished,datePublished,reviewRating.alternateName,language,domain
"“I have been a state legislator for 11 years, passing over 170 bills into law and delivering for Wisconsin families.” ",Katrina Shankland,2023-11-15,2023-12-08 17:17:15,mostly true,en,politifact.com
"“Support for Roe is higher today in America than it has ever been.""",Joe Biden,2024-04-09,2024-04-11 02:36:27,mostly true,en,politifact.com
"""You have 55 corporations, for example, in the United States of America making over $40 billion, don't pay a cent. Not a single little red cent.""",Joe Biden,2021-10-21,2021-10-22 18:19:07,mostly true,en,politifact.com
"Since Joe Biden “has taken office, unemployment in our (Latino) community has been cut in half.""
",Joe Biden,2023-08-24,2023-10-02 21:59:29,mostly true,en,politifact.com
"""I said I’d never raise the tax on anybody if you're making less than $400,000. I didn’t.""",Joe Biden,2024-06-27,2024-06-28 05:54:53,mostly true,en,politifact.com
"“Each year, more than $1 billion is stolen from” workers in New York state through wage theft.",Linda Rosenthal,2024-02-06,2024-02-22 05:53:50,mostly true,en,politifact.com
"""If out-of-state drivers paid gas tax, they would contribute $73 million to fix our roads""",Jon Erpenbach,2019-06-06,2019-07-01 18:36:45,mostly true,en,politifact.com
"Starting in 2025 ""no matter what your total bills are for prescription drugs,” Medicare Part D users will never pay “more than $2,000 a year, because some of these cancer drugs are 10(,000 to) 15,000 bucks a year.”",Joe Biden,2024-04-09,2024-04-18 21:58:46,mostly true,en,politifact.com
"""Unfortunately during COVID, the clerks in Madison and Milwaukee told their constituents that they were actually indefinitely confined and did not have to come and vote, which was incorrect."" ",Cindi Duchow,2023-11-09,2024-01-26 14:36:02,mostly true,en,politifact.com
"“We’ve created close to 800,000 manufacturing jobs since I’ve taken office.”",Joe Biden,2023-12-06,2023-12-14 00:25:54,mostly true,en,politifact.com
"“Since 1989 and a new age of globalization began, 51 million jobs have been created in America. 49 million, 96%, have been created under Democratic presidents.”",Simon Rosenberg,2024-03-08,2024-03-21 20:00:13,mostly true,en,politifact.com
Florida “had a year-over-year reduction” in overdose deaths.,Ron DeSantis,2023-12-12,2023-12-14 23:03:48,mostly true,en,politifact.com
“#Bidenomics has led to mortgage rates hitting a 21-year high → over 7%.”,Shelley Moore Capito,2023-08-23,2023-10-05 19:03:49,mostly true,en,politifact.com
The current Congress is “the least productive in our lifetime.”,Donna Brazile,2024-03-24,2024-04-03 21:42:57,mostly true,en,politifact.com
"Says in his three election campaigns, the early polls were ""wildly incorrect, all three times."" ",Ron Johnson,2024-05-19,2024-06-05 14:46:56,mostly true,en,politifact.com
“The percentage of students that are going to college (in West Virginia) has been declining for five years.”,George Zimmerman,2023-07-11,2023-10-07 04:29:14,mostly true,en,politifact.com
"""I've changed (the law) in the way that now you're in a situation where there are 40% fewer people coming across the border illegally.""",Joe Biden,2024-06-27,2024-06-28 05:23:46,mostly true,en,politifact.com
"During the spring 2020 election in Milwaukee, a reduction to only five polling locations “came days before the election and was done without proper notice to voters.” ",LaKeshia Myers ,2023-06-06,2023-09-08 15:50:38,mostly true,en,politifact.com
"“Today, America has record energy production and we are energy independent.”",Kamala Harris,2024-07-18,2024-07-26 21:35:49,mostly true,en,politifact.com
“Florida state government (has the) lowest number of state employees per capita in the country.”,Ron DeSantis,2024-01-18,2024-01-23 21:40:29,mostly true,en,politifact.com
"“Wisconsin has historically…and I think largely continues to be, a blue state.” ",Scott Walker,2023-05-30,2023-10-31 15:57:01,mostly false,en,politifact.com
“Code red emergency - poison released in the air” affecting 127 million people.,Facebook post,2023-08-03,2023-08-22 18:37:46,mostly false,en,politifact.com
"Donald Trump “proposed when he was president” that “he wanted to raise the gas tax up to 25 cents.""",Nikki Haley,2024-01-17,2024-01-19 18:47:07,mostly false,en,politifact.com
"“Bryan Steil is part of a group that wants to cut Social Security and Medicare, that would be devastating.” ",Opportunity Wisconsin,2024-01-10,2024-01-19 15:52:51,mostly false,en,politifact.com
Says U.S. Sen. Tammy Baldwin “was one of the staunchest supporters of the Iran deal which sent billions of dollars and plane loads of cash to Iran.” ,Eric Hovde,2024-03-04,2024-03-08 18:26:44,mostly false,en,politifact.com
"""In Florida, we eliminated critical race theory from our K through 12 schools."" ",Ron DeSantis,2023-08-23,2023-08-24 09:40:19,mostly false,en,politifact.com
"""Behind me and to the right was a large screen that was displaying a chart of border crossings under my leadership, the numbers were absolutely amazing.""",Donald Trump,2024-07-18,2024-07-19 06:04:34,mostly false,en,politifact.com
"“Since Joe Biden took office, crime has skyrocketed across our country.”",Nancy Mace,2024-03-30,2024-04-03 21:40:37,mostly false,en,politifact.com
"“Your minor child can go to California without your knowledge or without your consent, and get hormone therapy, puberty blockers and a sex change operation.”",Ron DeSantis,2023-11-30,2023-12-12 19:34:34,mostly false,en,politifact.com
"""Illinois is now letting illegal aliens become police officers.""",Ron DeSantis,2023-07-30,2023-08-11 22:04:13,mostly false,en,politifact.com
"“We’ve eliminated critical race theory in our K through 12 schools.”
",Ron DeSantis,2023-08-04,2023-08-14 21:43:48,mostly false,en,politifact.com
"Speaking of semiconductor industry jobs, ""Know what the average salary is? $110,000. You don't need a college degree.""",Joe Biden,2024-04-08,2024-04-15 20:14:18,mostly false,en,politifact.com
"“Gasoline prices are now $5, $6, $7 and even $8 a gallon.”",Donald Trump,2023-12-13,2023-12-15 18:20:43,mostly false,en,politifact.com
"“(A recent study) said ‘Medicare for All’ will lower health care costs in this country by $450 billion a year and save the lives of 68,000 people who would otherwise have died.”",Bernie Sanders,2020-02-26,2020-02-26 04:49:41,mostly false,en,politifact.com
“Because of our economic policies we now are reducing inflation.”,Kamala Harris,2023-10-28,2023-11-03 21:31:15,mostly false,en,politifact.com
"ProduceMaxx sprayed on organic produce at grocery stores contains pesticides, herbicides, fungicides, insecticides and antibiotics.
",Instagram post,2024-03-31,2024-04-11 22:18:02,mostly false,en,politifact.com
“Fewer than 2% of students are impacted whatsoever by the decisions we're making” to cut the budget.,E. Gordon Gee,2023-08-25,2023-10-10 23:17:07,mostly false,en,politifact.com
"""Half of American high school students are not familiar with the Holocaust.""",Dean Phillips,2023-11-13,2023-11-20 18:58:46,mostly false,en,politifact.com
“A higher percentage of American workers are working today than ever before.”,Joe Biden,2023-08-15,2023-08-21 20:54:47,mostly false,en,politifact.com
"“Almost a million people, mostly Democrats, have been kicked off the voter roll here in Florida” because of efforts to place a proposed amendment on abortion access on the state’s 2024 ballot.",TikTok,2023-12-15,2024-01-05 21:18:34,mostly false,en,politifact.com
Sen. Rick Scott “wants to … end Social Security and Medicare coverage.”,Debbie Mucarsel-Powell,2023-08-23,2023-09-07 01:12:47,mostly false,en,politifact.com
"In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56.""",Donald Trump,2024-02-05,2024-02-06 22:57:26,mostly false,en,politifact.com
Six million or 7 million people have “come illegally under Biden.”,Ron DeSantis,2023-09-30,2023-10-05 00:26:41,mostly false,en,politifact.com
"Says Republican U.S. Senate candidate Eric Hovde claims he ""understands the tragedy of children being trafficked through Central America because he owns three homes there.""",Heartland Signal,2024-02-20,2024-02-22 19:02:58,mostly false,en,politifact.com
"Montana Democrats are ""suing to say, ‘You should be allowed to be registered to vote in two states.'”",Ronna McDaniel,2024-03-24,2024-03-25 22:49:37,mostly false,en,politifact.com
"""We had the safest border in the history of our country.""",Donald Trump,2024-06-27,2024-06-28 05:56:31,mostly false,en,politifact.com
"There are ""about a half dozen"" transgender athletes competing in Wisconsin K-12 schools.",Barbara Dittrich,2023-10-04,2023-10-18 16:39:26,mostly false,en,politifact.com
"Food “costs 40%, 50%, 60% more than it did just a few years ago.”",Donald Trump,2024-02-10,2024-02-14 01:40:52,mostly false,en,politifact.com
“Biden’s let in 8 million people just in four years.”,Ron DeSantis,2024-01-11,2024-01-11 04:02:17,mostly false,en,politifact.com
Nikki Haley “raised taxes.”,Fight Right,2023-12-06,2023-12-13 23:28:53,mostly false,en,politifact.com
"Discussing gender-affirming surgical care for minors, said that Sweden “shut it down.”",Ron DeSantis,2023-12-06,2023-12-19 22:54:21,mixture,en,politifact.com
The Trump administration “achieved the lowest African American unemployment rate and the lowest African American poverty rate ever recorded.”,Donald Trump,2024-06-15,2024-06-20 16:29:36,mixture,en,politifact.com
"While talking about a bipartisan border bill, ""by the way, the Border Patrol endorsed me, endorsed my position.""",Joe Biden,2024-06-27,2024-06-28 06:00:14,mixture,en,politifact.com
"Emergency officials warn to “stock up on food, water, and fuel ahead of the eclipse.”",Facebook posts,2024-03-14,2024-03-19 20:41:36,mixture,en,politifact.com
"Robert F. Kennedy Jr. called voter ID “racist,” calls NRA a “terrorist organization” and supports affirmative action.",Donald Trump,2024-05-02,2024-05-14 18:28:22,mixture,en,politifact.com
“Inflation has been at the pre-pandemic level of 2% over the last half year.”,Joe Biden,2024-02-04,2024-02-07 23:20:37,mixture,en,politifact.com
“We cut the federal deficit by $160 billion because Medicare will no longer have to pay those exorbitant prices to Big Pharma.”,Joe Biden,2024-03-07,2024-03-11 22:00:32,mixture,en,politifact.com
"“In three short years, we achieved energy independence.”",Mike Pence,2023-08-13,2023-08-16 15:21:18,mixture,en,politifact.com
"""The repeal of Roe v. Wade has exacerbated the state’s OB-GYN shortage as residency programs report a decline in enrollment due to the inability of residents to receive training in-state."" ",Opportunity Wisconsin,2023-09-14,2023-10-25 23:51:52,mixture,en,politifact.com
"Nikki Haley “says the retirement age at 65 is way too low, it must be much higher.”",Donald Trump,2024-01-06,2024-01-08 22:33:34,mixture,en,politifact.com
"China “had the largest naval fleet in the world. They had 370 ships. They'll have 400 ships in two years. We won't even have 350 ships in two decades.""",Nikki Haley,2023-11-28,2023-12-04 20:54:52,mixture,en,politifact.com
“It is harder to buy Sudafed than an AR-15 in Maine.”,Shannon Watts,2023-10-25,2023-10-27 22:22:12,mixture,en,politifact.com
“2022 was the biggest tourism year ever in West Virginia”,Jim Justice,2023-09-13,2023-10-24 01:13:14,mixture,en,politifact.com
"Miami’s immigration courts have the “largest backlog of any court in this country with 10% of the overall immigration cases,” and “more than 90%” of people lose their asylum claims.",Jeanette Nuñez,2024-03-15,2024-03-21 19:37:04,mixture,en,politifact.com
"Insulin for Medicare beneficiaries ""was costing 400 bucks a month on average. It now costs $35 a month.""",Joe Biden,2024-03-19,2024-04-03 13:17:44,mixture,en,politifact.com
Foreign languages are “not a high priority” nationally,E. Gordon Gee,2023-08-18,2023-10-07 04:37:22,mixture,en,politifact.com
"""Virginians pay the 11th-highest power bills in the nation.""",Clean Virginia,2018-11-16,2018-11-27 00:00:00,mixture,en,politifact.com
"In Florida, “income growth is top of the chart.”",Ron DeSantis,2024-01-05,2024-01-09 03:24:50,mixture,en,politifact.com
The Trump administration “built nearly 500 miles of border wall.”,Donald Trump,2023-07-29,2023-08-09 22:02:38,mixture,en,politifact.com
“Gas prices have skyrocketed since Joe Biden took office and continue to do so everyday.”,Carol Miller,2023-08-30,2023-10-07 04:33:11,mixture,en,politifact.com
Republicans in Congress are “trying to wipe out federal funding to end the HIV epidemic.”,Joe Biden,2023-10-14,2023-11-07 18:08:50,mixture,en,politifact.com
"The Trump administration ""added more to the national debt than any presidential term in American history.""",Joe Biden,2024-03-08,2024-03-13 01:55:39,mixture,en,politifact.com
“Abraham Lincoln challenged a guy to a sword fight.”,Markwayne Mullin,2023-11-15,2023-11-16 22:42:11,mixture,en,politifact.com
"""Ron (DeSantis), you talk a really good game about cutting spending, but you've increased spending in Florida by 30%.""",Mike Pence,2023-09-28,2023-09-28 03:21:17,mixture,en,politifact.com
"“Since the end of the 2020 fiscal year, President Biden and Senator Baldwin have added over $7.3 trillion of debt, more than the first 228 years of our nation’s history combined.” ",Eric Hovde,2024-03-04,2024-03-14 14:47:42,mixture,en,politifact.com
“The Republicans and Trump funded $400 million in March of 2020 for mail ballots.”,Ron DeSantis,2023-10-24,2023-10-31 21:40:08,mixture,en,politifact.com
Former President Donald Trump is “against mail in voting.”,Pennsylvania Values,2024-06-21,2024-06-26 21:16:17,mixture,en,politifact.com
"U.S. aid to Ukraine will continue during a government shutdown, but programs for food stamps, transportation, education, justice, environmental protection and homelessness will not.",Instagram post,2023-09-22,2023-09-28 16:14:36,mixture,en,politifact.com
"“Cops in Norway: require 3 years of training, 4 people killed since 2002. Cops in Finland: require 2 years of training, 7 people killed since 2000. Cops in Iceland: require 2 years of training, 1 person killed since ever. Cops in the U.S.: require 21 weeks of training, 8,000+ people killed since 2001.”",Viral image,2020-06-08,2020-06-23 14:56:58,mixture,en,politifact.com
"""Joe Biden supported the disastrous invasion of Iraq"" while ""Trump was right"" on the war.",J.D. Vance,2024-07-17,2024-07-18 06:47:25,mixture,en,politifact.com
Video shows dolphins saving a mother whale and newborn from sharks.,Facebook posts,2024-04-16,2024-05-13 22:31:14,false,en,politifact.com
Video shows crisis actors in Palestine “working overtime to fool the world” during the current Israel-Hamas war.,Instagram post,2023-10-23,2023-10-26 15:46:22,false,en,politifact.com
"Photo shows Barron Trump on July 13, 2024, at Butler, Pennsylvania, rally.",Threads post,2024-07-14,2024-07-15 22:09:41,false,en,politifact.com
"“Trump says Biden is an alien.”
",Viral image,2023-08-23,2023-08-30 19:56:16,false,en,politifact.com
"Video shows a crowd celebrating former President Donald Trump’s conviction.
",Viral image,2024-05-30,2024-06-25 13:43:59,false,en,politifact.com
"The White House delivered an “official statement” July 28 that we “need to be getting prepared for something big to happen, potentially to our critical infrastructure.”",Facebook post,2023-07-30,2023-08-22 18:30:53,false,en,politifact.com
"Video shows singer Kelly Clarkson discussing a “weight loss formula.”
",Viral image,2023-10-25,2023-10-31 21:36:47,false,en,politifact.com
"“Every booster you take, you’re more likely to get COVID as a result of it.”",Ron DeSantis,2024-01-17,2024-01-20 05:34:57,false,en,politifact.com
Video shows Black Friday shoppers “in Biden’s thriving economy.”,Instagram post,2023-11-25,2023-11-30 21:46:36,false,en,politifact.com
"Video shows Ontario Premier Doug Ford promoting Elon Musk’s “latest project.”
",Viral image,2023-11-03,2023-11-17 21:57:19,false,en,politifact.com
“That’s why they are allowing these people to come in — people that don’t speak our language — they are signing them up to vote.”,Donald Trump,2024-01-05,2024-01-12 22:08:21,false,en,politifact.com
Israel bombed Palestinian children trying to get water.,TikTok video,2023-10-22,2023-11-06 20:59:58,false,en,politifact.com
Video showing “Israeli occupation forces arrest a 2-year-old child” is from the Israel-Hamas war.,Instagram post,2023-11-26,2023-11-30 21:48:10,false,en,politifact.com
Crime statistics “no longer include data from 30% of the country including the biggest and most violent cities.”,Donald Trump,2024-06-18,2024-06-18 22:33:38,false,en,politifact.com
"President Joe Biden declared a federal emergency and deployed the National Guard in October.
",Facebook posts,2023-10-14,2023-10-25 17:12:52,false,en,politifact.com
"Video shows Brad Pitt promoting a hair loss product.
",Facebook posts,2024-04-30,2024-06-24 18:11:21,false,en,politifact.com
"“FDA wants to replace salt with Bill Gates’ new mRNA fake salt.”
",Instagram posts,2023-10-03,2023-10-09 18:54:35,false,en,politifact.com
Smart-city plans are behind wildfires in Tenerife.,Facebook post,2023-08-22,2023-08-25 21:48:19,false,en,politifact.com
"""Parents who show up at school board meetings, they’re called, under this DOJ, they’re called domestic terrorists.""",Tim Scott,2023-08-24,2023-08-24 04:34:18,false,en,politifact.com
“Guess who is the marketing CEO of Zoom? Pelosi’s daughter/Newsome’s cousin.”,Viral image,2020-09-19,2020-09-25 19:12:02,false,en,politifact.com
"""They used COVID to cheat.""",Donald Trump,2024-07-18,2024-07-19 05:16:59,false,en,politifact.com
"""You’re in danger” because the American Red Cross doesn’t label blood donations from donors vaccinated against COVID-19.
",Instagram post,2023-11-25,2023-11-28 21:26:05,false,en,politifact.com
"Photo shows former French education minister Najat Vallaud-Belkacem herding sheep as a child in Morocco.
",Viral image,2022-01-04,2022-01-13 22:20:02,false,en,politifact.com
"Video shows TV personalities promoting a diabetes cure.
",Viral image,2023-11-06,2023-11-09 20:15:11,false,en,politifact.com
"Photos show former CNN correspondent Barbara Starr “on the scene as a witness crisis actor,” proving mass shootings were staged.
",Viral image,2024-03-13,2024-06-21 21:29:30,false,en,politifact.com
"“Whoopi, Joy and Sunny Threaten To Resign ‘Immediately’ If Candace Owens Joins The Panel.”",Facebook posts,2023-09-10,2023-09-15 21:20:20,false,en,politifact.com
"Biden ""allowed millions of people to come in here from prisons, jails and mental institutions.""",Donald Trump,2024-06-27,2024-06-28 05:24:53,false,en,politifact.com
The Pfizer COVID-19 vaccine “shuts off” recipients’ hearts.,Instagram posts,2024-01-22,2024-02-05 22:56:08,false,en,politifact.com
Video of the ship colliding with the Baltimore bridge proves the bridge collapse wasn’t “an accident.”,Facebook posts,2024-03-26,2024-04-02 21:03:49,false,en,politifact.com
"Says James Mattis said, “If you burn the American flag you’ll spend two years in the military. I promise you, you’ll be cured of the desire to burn a flag ever again.”
",Viral image,2021-05-18,2021-06-08 19:25:35,false,en,politifact.com
“Violent crime is near a record 50-year low.”,Joe Biden,2024-05-15,2024-05-28 16:25:51,true,en,politifact.com
"“Today in America, 1 in 3 women of reproductive age live in a state with an abortion ban.”",Kamala Harris,2024-01-22,2024-01-30 22:29:41,true,en,politifact.com
“We’re facing situations these days where you have to have two officers in the evidence room in case there’s an accidental (fentanyl) exposure.” ,Tammy Baldwin,2024-03-07,2024-03-29 19:37:51,true,en,politifact.com
"""I passed one of the first climate change bills in the United States Senate in 1987.""",Joe Biden,2020-02-05,2020-02-05 21:15:06,true,en,politifact.com
“We're having the largest classes of correctional officers we've ever had before.” ,Tony Evers,2024-02-11,2024-03-06 15:43:23,true,en,politifact.com
"“We’ve seen an 800% increase in the Swanton sector, which is the part of the northern border that I represent, in illegal crossings.”",Rep. Elise Stefanik,2024-01-28,2024-02-23 16:16:09,true,en,politifact.com
"""(The) top issue for college students is the economy."" ",Scott Walker,2024-01-21,2024-02-02 19:00:20,true,en,politifact.com
"“We’ve had 12 elections in 24 years in Wisconsin that have been decided by less than 30,000 votes.” ",Brian Schimming,2024-03-06,2024-04-05 15:32:34,true,en,politifact.com
“Lego donates model MRI kits to hospitals to help children understand the procedure and reduce their anxiety.”,Instagram posts,2023-10-08,2023-10-27 19:36:48,true,en,politifact.com
Minnesota incarcerates “about a third of what Wisconsin does.” ,Kelda Roys,2024-02-01,2024-02-14 18:04:30,true,en,politifact.com
"""Kamala Harris co-sponsored (Sen.) Bernie Sanders’ $32 trillion plan (to take over) the entire U.S. health system.""",Donald Trump,2024-07-24,2024-07-25 23:50:41,true,en,politifact.com
“Marijuana is currently classified in the same category of drugs as heroin and a more dangerous category than fentanyl or cocaine.”,Kirsten Gillibrand,2024-02-03,2024-02-20 19:58:13,true,en,politifact.com
"“We’ve had more Americans die of fentanyl than the Iraq, Afghanistan, and Vietnam Wars, combined.”",Nikki Haley,2023-12-14,2023-12-19 22:51:33,true,en,politifact.com
"“In April last year, our state unemployment rate hit a record low of 2.4%. Last year, Wisconsin had an all-time lowest number of unemployed workers ever in modern history.” ",Tony Evers,2024-01-23,2024-02-02 15:35:58,true,en,politifact.com
"It has been U.S. policy “for at least 79 years"" to require Americans who intend to be evacuated from overseas to sign a promissory note.",Brian Krassenstein,2023-10-12,2023-10-13 21:11:53,true,en,politifact.com
The Great Lakes account for “over 20% of the world’s freshwater and over 80% of North America’s freshwater.”,Patrick Burke,2024-03-03,2024-03-21 23:43:31,true,en,politifact.com
"""We have just 4% of the world’s population — 25% of the world’s cases.""",Bill Clinton,2020-08-19,2020-08-19 04:10:04,true,en,politifact.com
"“We passed 27 bills last year, which is the fewest since the Depression.”",Mark Pocan,2024-03-27,2024-04-18 14:24:44,true,en,politifact.com
"“Wisconsin had over 1,400 opioid overdose deaths in 2022.” ",Tammy Baldwin,2024-01-21,2024-02-06 15:47:27,true,en,politifact.com
"""Some say the riots were caused by Antifa. There is absolutely no evidence of that.""",Kevin McCarthy,2021-01-14,2021-01-14 00:28:04,true,en,politifact.com
Project 2025 would “end Head Start.”,Kamala Harris,2024-07-18,2024-07-23 19:39:12,true,en,politifact.com
"Kamala Harris ""co-sponsored, fully sponsored"" the Green New Deal.",Byron Donalds,2024-07-07,2024-07-10 21:11:43,true,en,politifact.com
"Under Joe Biden, there are “record numbers of new Black entrepreneurs”",Joe Biden,2024-02-13,2024-02-15 23:08:58,true,en,politifact.com
"Potato chips, KitKat bars and Viagra are not taxed in Wisconsin because they are considered ""essential."" ",Melissa Agard,2023-07-27,2023-11-03 16:04:10,true,en,politifact.com
"""Donald Trump deported fewer people than Barack Obama did when he was president.""",Ron DeSantis,2024-01-11,2024-01-11 06:11:15,true,en,politifact.com
"“Since 1981, the state Senate has only rejected five executive appointments. The GOP today is more than doubling that number.” ",Melissa Agard,2023-10-17,2023-10-25 16:29:28,true,en,politifact.com
"“We sell arms to 60% of the world's autocrats. We are the world's largest arms exporters.""",Marianne Williamson,2023-11-07,2023-11-14 23:58:20,true,en,politifact.com
"Gaza has “the highest number of people facing catastrophic hunger ever recorded by the Integrated Food Security Classification system — anywhere, anytime.”",António Guterres,2024-03-18,2024-03-26 21:59:28,true,en,politifact.com
"""Homeownership is now out of reach unless you make over $106,000.""",Charlie Kirk,2024-07-16,2024-07-16 05:07:19,true,en,politifact.com
"“A few years back,” Mitchell Stadium in Bluefield, W.Va., “was voted the best high school football field in America.”",Mike Oliverio,2023-08-29,2023-09-28 16:52:57,true,en,politifact.com
