claimReviewed,itemReviewed.author.name,itemReviewed.datePublished,datePublished,reviewRating.alternateName,language,domain
"Photo shows President Joe Biden lounging on the beach in October 2023 amid the Israel-Hamas war.
",Viral image,2023-10-22,2023-10-25 17:17:38,false,en,politifact.com
"Video shows protesters attacking Israel’s embassy in Bahrain with molotov cocktails.
",Instagram posts,2023-10-20,2023-10-25 17:19:09,false,en,politifact.com
"""The repeal of Roe v. Wade has exacerbated the state’s OB-GYN shortage as residency programs report a decline in enrollment due to the inability of residents to receive training in-state."" ",Opportunity Wisconsin,2023-09-14,2023-10-25 23:51:52,mixture,en,politifact.com
Video shows crisis actors in Palestine “working overtime to fool the world” during the current Israel-Hamas war.,Instagram post,2023-10-23,2023-10-26 15:46:22,false,en,politifact.com
"“When I came into office, Iran had $70 billion in foreign exchange reserves. … By the time I left, they had nothing. They were broke.”",Donald Trump,2023-10-23,2023-10-26 16:26:40,mixture,en,politifact.com
"""95% of over-the-counter pharmaceuticals"" in the U.S. come from China.",Vivek Ramaswamy,2023-10-13,2023-10-26 19:36:15,false,en,politifact.com
“Prices have increased over 17% in the last two years.”,Mike Johnson,2023-10-25,2023-10-26 22:06:33,mixture,en,politifact.com
"“In the time it’s going to take me to deliver this speech, we’ll go up another $20 million in debt.”",Mike Johnson,2023-10-25,2023-10-26 22:07:13,mostly true,en,politifact.com
The Milwaukee Brewers “are complaining about a lack of transit going to the ballpark at the same time as they are testifying in favor (of) taking $135 million away from Milwaukee County” ,Chris Larson,2023-10-05,2023-10-27 18:33:53,mostly false,en,politifact.com
“A new deadly pandemic is at our doorstep.”,Facebook posts,2023-10-02,2023-10-27 19:26:53,false,en,politifact.com
"""Bill Gates mRNA 'air vaccine' approved for use against non-consenting humans""",Instagram posts,2023-10-06,2023-10-27 19:29:56,false,en,politifact.com
Less than 48 hours after Israel was attacked “we have hundreds of hours worth of footage but zero footage from the Ukraine war.”,Instagram posts,2023-10-09,2023-10-27 19:32:57,false,en,politifact.com
"Video shows Will Smith and Jada Pinkett Smith advertising “$5,600 health spending cards.”",Facebook posts,2023-10-10,2023-10-27 19:31:19,false,en,politifact.com
“Egypt is now at war with Israel.”,Facebook posts,2023-10-16,2023-10-27 19:34:23,false,en,politifact.com
“Lego donates model MRI kits to hospitals to help children understand the procedure and reduce their anxiety.”,Instagram posts,2023-10-08,2023-10-27 19:36:48,true,en,politifact.com
“It is harder to buy Sudafed than an AR-15 in Maine.”,Shannon Watts,2023-10-25,2023-10-27 22:22:12,mixture,en,politifact.com
"4,296 Georgia voters ""registered to vote in another state after their Georgia registration date.""",Mike Lindell,2021-02-05,2021-02-05 22:35:10,false,en,politifact.com
A discrepancy in the number of ballots and voters in the 2022 general election in New York “appears to be a federal crime.”,New York Citizens Audit,2023-08-29,2023-10-29 19:35:23,false,en,politifact.com
The lifespan of a wind tower generator lasts just three to four years.,Facebook post,2023-09-25,2023-10-30 21:38:35,false,en,politifact.com
A video proves that the United Nations is “setting up shop in U.S. states.”,Facebook post,2023-10-18,2023-10-30 21:40:02,false,en,politifact.com
"“Wisconsin has historically…and I think largely continues to be, a blue state.” ",Scott Walker,2023-05-30,2023-10-31 15:57:01,mostly false,en,politifact.com
Photos show Gaza on Oct. 27.,Instagram post,2023-10-27,2023-10-31 20:15:24,false,en,politifact.com
“Haaretz investigation reveals discrepancies in Israel’s reporting on October 7th death toll.”,Instagram posts,2023-10-28,2023-10-31 20:33:50,false,en,politifact.com
"Writer Bari Weiss wrote that what the Trump administration did “was pretty incredible in hindsight.”
",X posts,2023-10-23,2023-10-31 21:08:21,false,en,politifact.com
"Video shows a President Joe Biden impostor.
",Viral image,2023-10-22,2023-10-31 21:09:02,false,en,politifact.com
"Russian President Vladimir Putin suffered a heart attack Oct. 22, 2023.",Social media posts,2023-10-24,2023-10-31 21:09:15,false,en,politifact.com
"Video shows Palestinians pretending to be corpses amid the Israel-Hamas war.
",Viral image,2023-10-27,2023-10-31 21:11:25,false,en,politifact.com
"U.S. Sen. Chuck Schumer “is a dual Israeli citizen.”
",Viral image,2023-10-24,2023-10-31 21:09:30,false,en,politifact.com
"McDonald’s changed its food wrappers to support Israel amid the war.
",Viral image,2023-10-19,2023-10-31 21:10:10,false,en,politifact.com
"Matthew Perry died because of a COVID-19 vaccine.
",Instagram posts,2023-10-28,2023-10-31 21:10:39,false,en,politifact.com
"“The airport in Salzburg, Austria, has a counter for people who flew to Austria instead of Australia.”
",Instagram posts,2023-10-27,2023-10-31 21:11:53,false,en,politifact.com
Rainbow fentanyl is a threat to children on Halloween.,Rick Scott,2023-10-31,2023-10-31 21:13:41,false,en,politifact.com
"“Joe Biden confirms WW3 live on TV.”
",Facebook posts,2023-10-20,2023-10-31 21:35:06,false,en,politifact.com
"The media didn’t cover “new history” when North Korea and South Korea’s leaders crossed the border for the first time.
",Viral image,2023-10-22,2023-10-31 21:35:57,false,en,politifact.com
"Video shows singer Kelly Clarkson discussing a “weight loss formula.”
",Viral image,2023-10-25,2023-10-31 21:36:47,false,en,politifact.com
“The Republicans and Trump funded $400 million in March of 2020 for mail ballots.”,Ron DeSantis,2023-10-24,2023-10-31 21:40:08,mixture,en,politifact.com
"“In UCLA hundreds of students chanting: ‘Israel Israel you can’t hide, we want Jewish genocide.’”
",Instagram posts,2023-10-30,2023-10-31 22:02:35,false,en,politifact.com
"“Palestinian journalist films the moment an Israeli strike kills him and a fellow medic on live TV” in October 2023.
",Viral image,2023-10-30,2023-10-31 22:03:28,false,en,politifact.com
"Video shows Elon Musk said South Africans no longer have to work with access to his “platform.”
",Viral image,2023-10-30,2023-10-31 22:04:16,false,en,politifact.com
"China is “the largest developer of neuro-strike weapons, weapons engineered to change the brain activity of military commanders and segments of the population.”",Nikki Haley,2023-10-12,2023-11-01 19:11:20,mostly true,en,politifact.com
"Video shows U.S. Reps. Alexandria Ocasio-Cortez and Nancy Pelosi discussing Jan. 6 with President Joe Biden.
",Viral image,2023-10-23,2023-10-09 19:04:16,false,en,politifact.com
Gov. Ron DeSantis “actually sponsored the bill to make Puerto Rico a state.”,MAGA Inc,2023-10-28,2023-11-02 15:39:32,mostly true,en,politifact.com
“Gen Z is divided 50-50 on whether they support Hamas or Israel.”,Vivek Ramaswamy,2023-10-28,2023-11-02 21:03:05,mostly false,en,politifact.com
"Potato chips, KitKat bars and Viagra are not taxed in Wisconsin because they are considered ""essential."" ",Melissa Agard,2023-07-27,2023-11-03 16:04:10,true,en,politifact.com
“Because of our economic policies we now are reducing inflation.”,Kamala Harris,2023-10-28,2023-11-03 21:31:15,mostly false,en,politifact.com
Israel bombed Palestinian children trying to get water.,TikTok video,2023-10-22,2023-11-06 20:59:58,false,en,politifact.com
“Every President we ever had in the United States of America was a draconian reptilian.”,Facebook Posts,2023-10-22,2023-11-07 18:06:48,false,en,politifact.com
Republicans in Congress are “trying to wipe out federal funding to end the HIV epidemic.”,Joe Biden,2023-10-14,2023-11-07 18:08:50,mixture,en,politifact.com
Ohio’s Issue 1 “allows for abortion after viability for…financial reasons.”,Protect Woman Ohio,2023-10-30,2023-11-07 18:11:01,false,en,politifact.com
"“Dr. Fauci doesn’t exist!”
",Instagram posts,2023-10-31,2023-11-07 18:48:52,false,en,politifact.com
"U.S. Rep. Mike Johnson is the 45th speaker of the House.
",Facebook posts,2023-10-31,2023-11-07 18:49:21,false,en,politifact.com
"Bill Gates wrote a 2011 article titled “Depopulation Through Forced Vaccination.”
",Viral image,2023-10-30,2023-11-07 18:49:52,false,en,politifact.com
"Switzerland’s distribution of iodine tablets means the government is worried about nuclear war.
",Facebook posts,2023-10-25,2023-11-07 18:50:57,false,en,politifact.com
"Video shows “rioters rush people’s houses” Oct. 28 in Washington D.C.
",Viral image,2023-10-28,2023-11-07 18:50:32,false,en,politifact.com
"Photo shows “American soldiers praying for their country, for Israel before being deployed to defend Israel” in 2023.
",Facebook posts,2023-11-03,2023-11-07 18:51:38,false,en,politifact.com
"
Some individuals or businesses in Wisconsin are charging $2 or $2.25 an hour for child care.
true mostly-true

    Children Economy Small Business Wisconsin Rachael Cabral-Guevara, 

Pre-K teacher Vera Csizmadia teaches 3-and 4-year-old students in her early childhood center classroom in Palisades Park, N.J., on Sept. 16, 2021. (AP) Pre-K teacher Vera Csizmadia teaches 3-and 4-year-old students in her early childhood center classroom in Palisades Park, N.J., on Sept. 16, 2021. (AP)

Pre-K teacher Vera Csizmadia teaches 3-and 4-year-old students in her early childhood center classroom in Palisades Park, N.J., on Sept. 16, 2021. (AP)
By Hope Karnopp November 7, 2023
Cabral-Guevara says some Wisconsin child care providers’ rates are as low as $2.25 an hour
If Your Time is short

    State Sen. Rachael Cabral-Guevara, R-Appleton’s office was unable to point to a specific provider.

    But data from a Fox Valley child care agency shows some providers charge as little as $90 per week, or $2.25 per hour.

    Data to support her claim is for older children. Infant care, group centers and urban areas are more expensive.

See the sources for this fact-check

Wisconsin lawmakers agree that the state’s child care industry is in crisis. But they are at odds on how to address it. 

Republicans have introduced bills that would loosen regulations like staff-to-child ratios, which they say would give centers flexibility. 

Democrats have pushed to continue pandemic-era Child Care Counts payments to providers, which help prevent tuition rate increases for parents. 

During an Oct. 18,  hearing for the GOP bills, state Sen. Rachael Cabral-Guevara, R-Appleton, asked the state Department of Children and Families for solutions ""besides just more money.""

""I had some folks coming in and I was asking them, ‘Well, how much are you charging an hour for child care?’ And some of them told me, ‘$2. $2.25 an hour,’"" she said. ""And I said, ‘Well, maybe you need to increase your prices.’""

(She added that not every provider charges $2 an hour.) 

Still, Cabral-Guevara’s claim caught our attention. Especially after one recent report found that child care can cost more than tuition at the University of Wisconsin-Madison.

Could some providers in Wisconsin really be charging as little as $2 an hour for child care? Let’s take a look.
Rates as low as $3 an hour in rural areas for older kids

When asked to back up the claim, Cabral-Guevara’s chief-of-staff, Ryan Retza, followed up with the meeting organizer to get more details on the attendees. 

He also shared a 2022 Department of Children and Families study that showed price ranges based on the child’s age, the type of care and whether the area was rural or urban. 

He pointed us to a line in a table that represented children in the 6-and-older age group, in child care that is normally operated out of a provider’s home, and in the most rural parts of the state. The corresponding weekly rate was as low as $120, or $3 an hour for 40 hours of child care a week. That’s not quite as low as $2 or $2.25, but it’s somewhat close. 

Department of Children and Families communications director Gina Paige told us that a single provider might not charge that amount, but it’s possible that the $120 is ""a composite of multiple providers' prices.""
Featured Fact-check
Melissa Agard
stated on October 17, 2023 in Public appearance
“Since 1981, the state Senate has only rejected five executive appointments. The GOP today is more than doubling that number.”
true true
By Hope Karnopp • October 25, 2023

Paige noted that ""provider prices vary substantially across Wisconsin,"" and urban areas, group centers and infant care are more expensive. 

""Providers are often not charging families for the true cost of care because they know families cannot afford it,"" she added. 

But back to Cabral-Guevara: Are there any providers charging even less than $3 that could prove her claim?

Based on other information, it’s possible, at least in some counties.
Documentation shows Winnebago County providers may charge that little

In a later email, Retza said ""we have not pinpointed the specific individual Sen. Cabral-Guevara spoke to in April."" 

So, we don’t know the specific provider she was referring to. But her office checked with a local child care resource and referral center in Kimberly, which was also at the meeting. That agency shared information on rates at group centers and family homes in eight Fox Valley counties in November 2022. 

Retza pointed to Winnebago County, where weekly rates at group centers can be as low as $90 for children 5 and over, or $2.25 per hour. That assumes the calculation is based on a 40-hour work week, though the report doesn’t specify. 

Another table for Winnebago County — with less data filled in — shows a $9 hourly rate for that older age group in that type of care. 

That’s the highest hourly rate of all the counties, age groups and types of care. And many counties had missing hourly rate data, suggesting it might not be as reliable. 

But again, Cabral-Guevara was referring to an exceptionally low rate she heard about, and that $90 weekly rate fits her recollection.  
Our ruling

Cabral-Guevara said in the October hearing that some individuals or businesses in Wisconsin are charging $2 or $2.25 an hour for child care.

She wasn’t able to point to a specific provider, and the data has a bit of uncertainty involved. But it’s still feasible that a provider in her district is charging $2.25 an hour, based on data from the referral agency.

And although she acknowledged not all providers charge that little, she also didn’t specify the age or type or care, which impacts prices. 

Our definition of Mostly True is ""The statement is accurate but needs clarification or additional information."" That fits here.
Our Sources

WisEye, Senate Committee on Mental Health, Substance Abuse Prevention, Children and Families, Oct. 18, 2023

Email exchange, Ryan Retza, chief-of-staff for Office of state Sen. Rachael Cabral-Guevara, R-Appleton, Oct. 20, 2023 and Oct. 30, 2023

Department of Children and Families, 2022 Child Care Market Survey Results, August 2022

Email exchange, Gina Paige, communications director for Department of Children and Families, Oct. 30, 2023, and Nov. 3, 2023

Child Care Resource and Referral Fox Valley, November 2022 Child Care Rate Reports, November 2022
 
Read About Our Process

The Principles of the Truth-O-Meter
Browse the Truth-O-Meter
More by Hope Karnopp
slide 3 to 5 of 2
mostly-truemostly-true
truetrue
Rachael Cabral-Guevara,
stated on October 18, 2023 Public hearing:
Some individuals or businesses in Wisconsin are charging $2 or $2.25 an hour for child care.
mostly-true mostly-true
By Hope Karnopp • November 7, 2023
Melissa Agard
stated on October 17, 2023 Public appearance:
“Since 1981, the state Senate has only rejected five executive appointments. The GOP today is more than doubling that number.”
true true
By Hope Karnopp • October 25, 2023
mostly-truemostly-true
truetrue
Cabral-Guevara says some Wisconsin child care providers’ rates are as low as $2.25 an hour

    Rachael Cabral-Guevara,
    stated on October 18, 2023 in Public hearing:
    Some individuals or businesses in Wisconsin are charging $2 or $2.25 an hour for child care.
    mostly-true mostly-true
    By Hope Karnopp • November 7, 2023
    Facebook posts
    stated on November 3, 2023 in a Facebook post:
    Photo shows “American soldiers praying for their country, for Israel before being deployed to defend Israel” in 2023.
    false false
    By Ciara O'Rourke • November 6, 2023
    Instagram posts
    stated on November 4, 2023 in an Instagram post:
    Ukrainian President Volodymyr Zelenskyy “has surrendered.”
    false false
    By Sara Swann • November 6, 2023
    TikTok posts
    stated on October 22, 2023 in a TikTok video:
    Israel bombed Palestinian children trying to get water.
    false false
    By Jeff Cercone • November 6, 2023
    Protect Women Ohio
    stated on October 30, 2023 in a video:
    Ohio’s Issue 1 “allows for abortion after viability for…financial reasons.”
    false false
    By Grace Abels • November 3, 2023
    Kamala Harris
    stated on October 28, 2023 in an interview with CBS News:
    “Because of our economic policies we now are reducing inflation.”
    barely-true barely-true
    By Louis Jacobson • November 3, 2023
    Facebook posts
    stated on September 26, 2023 in a Facebook post:
    1936 in the United States was “much hotter than 2023.”
    false false
    By Sara Swann • November 3, 2023
    Facebook posts
    stated on October 25, 2023 in a Facebook post:
    Switzerland’s distribution of iodine tablets means the government is worried about nuclear war.
    false false
    By Ciara O'Rourke • November 3, 2023
    Viral image
    stated on October 28, 2023 in an Instagram post:
    Video shows “rioters rush people’s houses” Oct. 28 in Washington D.C.
    false false
    By Ciara O'Rourke • November 3, 2023
    Viral image
    stated on October 30, 2023 in an Instagram post:
    Bill Gates wrote a 2011 article titled “Depopulation Through Forced Vaccination.”
    false false
    By Ciara O'Rourke • November 3, 2023

Load more
Support independent fact-checking.
Become a member!

In a world of wild talk and fake news, help us stand up for the facts.

Sign me up
Offices

District of Columbia
1800 I Street NW
Washington, DC 20006

Florida
801 3rd St. S
St. Petersburg, FL 33701
727-821-9494
People

    All People
    Joe Biden
    Kamala Harris
    Charles Schumer
    Mitch McConnell
    Ron DeSantis
    Donald Trump

State Editions

    California
    Florida
    Illinois
    Iowa
    Missouri
    New York
    North Carolina
    Pennsylvania
    Texas
    Virginia
    West Virginia
    Vermont
    Wisconsin
    Michigan

About Us

    Our Process
    Our Staff
    En Español
    Who pays for PolitiFact?
    Advertise with Us
    Corrections and Updates
    Subscribe

RSS Feeds

    Recent Articles and Fact-checks
    Recent Fact-checks

Suggest a Fact-check
Follow us
The Facts Newsletter
Terms & Conditions
Privacy Policy
Copyright
©All Rights Reserved Poynter Institute 2020, a 501(c)(3) nonprofit organization

Some individuals or businesses in Wisconsin are charging $2 or $2.25 an hour for child care. 
",Rachael Cabral-Guevara,2023-10-18,2023-11-07 19:40:39,mostly true,en,politifact.com
Some individuals or businesses in Wisconsin are charging $2 or $2.25 an hour for child care. ,Rachael Cabral-Guevara,2023-10-18,2023-11-07 19:58:57,mostly true,en,politifact.com
"""Over the past four decades, we’ve lost over 400,000 farms in America (and) over 140 million acres of farmland. And that’s an area roughly equal to the size of Minnesota, North and South Dakota combined.”",Joe Biden,2023-11-01,2023-11-07 22:49:15,mostly true,en,politifact.com
"“Only in Washington can you cut funding, add a pay-for to a new spending measure, and they say it's terrible for the deficit.”",Mike Johnson,2023-11-05,2023-11-07 22:51:59,false,en,politifact.com
"Video shows someone impersonating President Joe Biden visiting Israel in October 2023.
",Viral image,2023-11-05,2023-11-08 18:46:17,false,en,politifact.com
"Photos are evidence actor Courteney Cox uses adrenochrome from kidnapped children.
",Instagram posts,2023-11-05,2023-11-08 18:45:40,false,en,politifact.com
"Video shows “Israel Zionist blowing up people in hospitals” in 2023.
",Viral image,2023-11-03,2023-11-08 18:46:53,false,en,politifact.com
"Video shows late night host Jimmy Fallon interviewing singer Kelly Clarkson about a weight loss product.
",Viral image,2023-11-06,2023-11-08 18:48:39,false,en,politifact.com
"Video shows Hoda Kotb interviewing Kelly Clarkson about “her weight loss journey.”
",Viral image,2023-10-31,2023-11-08 18:47:31,false,en,politifact.com
"Video shows California Gov. Gavin Newsom falling down airplane stairs.
",Viral image,2023-11-02,2023-11-08 18:48:06,false,en,politifact.com
"“NASA admits space and planets are fake.”
",Viral image,2023-11-07,2023-11-08 18:49:04,false,en,politifact.com
"New York Attorney General Letitia James said President Joe Biden “is an embarrassment to all that we stand for.”
",Facebook posts,2023-10-30,2023-11-08 18:49:43,false,en,politifact.com
"“Protesters in Kerala India accidentally brought the Italian flag instead of the Palestine flag to pro-Hamas protest.”
",Viral image,2023-10-21,2023-11-08 18:50:21,false,en,politifact.com
"Videos show singer Kelly Clarkson promoting diet products.
",Viral image,2023-10-28,2023-11-09 20:14:04,false,en,politifact.com
"“Taylor Swift pulls ‘Eras’ film screenings in Israel.”
",Viral image,2023-11-06,2023-11-09 20:14:34,false,en,politifact.com
"Video shows TV personalities promoting a diabetes cure.
",Viral image,2023-11-06,2023-11-09 20:15:11,false,en,politifact.com
"“In 1992, this country made a promise to Ukraine. We said if you return nuclear missiles that were part of the old Soviet Union to Russia, and they invade you, we will protect you.”",Chris Christie,2023-11-08,2023-11-09 22:18:38,mostly false,en,politifact.com
"""Acapulco destroyed by yet another directed weather attack!”",Instagram post,2023-11-06,2023-11-09 22:52:06,false,en,politifact.com
Joe Rogan spoke about a child being abducted into a secret Disneyland tunnel.,Instagram post,2023-11-04,2023-11-09 22:58:51,false,en,politifact.com
1936 in the United States was “much hotter than 2023.”,Facebook posts,2023-09-26,2023-11-13 18:18:55,false,en,politifact.com
Ukrainian President Volodymyr Zelenskyy “has surrendered.”,Instagram posts,2023-11-04,2023-11-13 18:25:52,false,en,politifact.com
"On Nov. 7, 2023, Pennsylvania voting machines were “flipping votes,” which is evidence of “election fraud.”",Instagram posts,2023-11-08,2023-11-13 18:29:57,false,en,politifact.com
Photo shows Dianne Feinstein “bullying” Lisa Murkowski over “the now empty seat of the late Justice Ruth Bader Ginsburg.”,Bloggers,2020-09-21,2020-09-25 19:11:28,false,en,politifact.com
Looking at “American aid to other countries … the vast majority of it is military aid.”,Marianne Williamson,2023-11-07,2023-11-14 23:57:31,false,en,politifact.com
"“We sell arms to 60% of the world's autocrats. We are the world's largest arms exporters.""",Marianne Williamson,2023-11-07,2023-11-14 23:58:20,true,en,politifact.com
"An exemption in a new Florida law “allowed Chinese nationals to buy land within a 20-mile radius of a military base, lobbied for by one of (Gov. Ron DeSantis’) donors.”",Vivek Ramaswamy,2023-11-08,2023-11-15 14:24:51,mixture,en,politifact.com
"“Just like the Cuban regime, the Biden administration is trying to put their political opponents in jail, shutting down free speech.”",Donald Trump,2023-11-08,2023-11-15 15:37:19,false,en,politifact.com
“Kids who don’t even know what day it is or their colors can decide to permanently change themselves” through medical gender transition. ,Robin Vos,2023-10-12,2023-11-15 15:40:18,false,en,politifact.com
"Biden ""wants to raise everybody’s taxes.""",Donald Trump,2020-09-15,2020-09-16 18:54:50,false,en,politifact.com
"Video shows Dr. Anthony Fauci getting “confronted on what was exposed about him last night.”
",Facebook posts,2023-06-21,2023-06-22 23:19:05,false,en,politifact.com
"New Hampshire has “a worse drug problem per capita than any other state.""",Donald Trump,2023-11-11,2023-11-15 17:58:53,false,en,politifact.com
“Abraham Lincoln challenged a guy to a sword fight.”,Markwayne Mullin,2023-11-15,2023-11-16 22:42:11,mixture,en,politifact.com
"U.S. House Speaker Mike Johnson ""opposes Social Security benefits."" ",Francesca Hong,2023-10-25,2023-11-17 15:17:17,mostly false,en,politifact.com
"Former President Donald Trump called Michelle Obama “Mike” in this tweet.
",Viral image,2023-09-18,2023-09-20 22:09:19,false,en,politifact.com
“We have over a million people right now that are under emergency travel restrictions … and this is due to poison being released into the air.”,Facebook posts,2023-08-21,2023-09-06 18:51:59,false,en,politifact.com
"Video shows interview with Elon Musk about making “passive income” with “Quantum AI.”
",Viral image,2023-08-22,2023-09-13 21:10:24,false,en,politifact.com
"A new photo shows Queen Elizabeth II on the day she died.
",Instagram posts,2023-09-11,2023-09-13 21:12:29,false,en,politifact.com
"Video shows Vice President Kamala Harris discussing how women should “get ahead.”
",Viral image,2023-09-12,2023-09-14 22:06:07,false,en,politifact.com
"Video shows Elon Musk promising $45,000 in Canadian currency for participating Canadian citizens.
",Facebook posts,2023-09-20,2023-09-29 20:03:39,false,en,politifact.com
"Video shows Iranian lawmakers chanting “death to America” in 2023.
",Instagram posts,2023-10-07,2023-10-09 18:51:40,false,en,politifact.com
"Video shows “Israeli Air Force…striking terror targets in Gaza” in October.
",Facebook posts,2023-10-07,2023-10-09 18:52:24,false,en,politifact.com
"Video shows Hamas “paraglided amongst Israeli citizens and proceeded to massacre them.”
",Viral image,2023-10-09,2023-10-09 18:53:02,false,en,politifact.com
"""Some say the riots were caused by Antifa. There is absolutely no evidence of that.""",Kevin McCarthy,2021-01-14,2021-01-14 00:28:04,true,en,politifact.com
"A 1970s public service announcement offers tips for avoiding the coronavirus.
",Viral image,2023-09-27,2023-09-29 20:09:27,false,en,politifact.com
"Princess Diana, actor Heath Ledger and musician John Lennon were “killed for exposing the truth.”
",Facebook posts,2023-09-11,2023-09-29 20:02:53,false,en,politifact.com
"“Donald Trump exposes why 9/11 was an inside job.”
",Instagram posts,2023-09-24,2023-09-29 20:08:50,false,en,politifact.com
"Video shows a Federal Emergency Management Agency “concentration camp” in Hawaii.
",Facebook posts,2023-09-14,2023-09-29 20:04:34,false,en,politifact.com
Footage shows “Palestinian freedom fighters shot down 4 Israelis fighter jets.”,Facebook posts,2023-10-07,2023-10-09 20:47:38,false,en,politifact.com
"Video shows footage of recent violence in Israel.
",Facebook posts,2023-10-08,2023-10-13 17:47:13,false,en,politifact.com
"Former President Donald Trump said, “Israel has hypnotized the world.”
",Viral image,2023-10-09,2023-10-13 17:49:31,false,en,politifact.com
"Video shows Hamas militants “dressing up as Jewish soldiers” to create propaganda.
",Instagram posts,2023-10-09,2023-10-13 17:47:58,false,en,politifact.com
"Video shows Hamas launching a “rocket attack.”
",Facebook posts,2023-10-10,2023-10-13 17:50:51,false,en,politifact.com
"Video shows Israel’s Iron Dome intercepting rockets Hamas fired in October 2023.
",Viral image,2023-10-10,2023-10-13 17:51:33,false,en,politifact.com
"""Joe Biden told us a few days before the election, that he had the best voter fraud team in the world."" ",Rudy Giuliani,2020-11-19,2020-11-20 23:25:56,false,en,politifact.com
"Kamala Harris said, “American churches are PROPAGANDA CENTERS for intolerant homophobic, xenophobic vitriol.""",Facebook posts,2020-10-10,2020-10-13 20:53:17,false,en,politifact.com
Video of howling people in Germany shows “trans species rights” protest.,Instagram posts,2023-10-09,2023-10-09 19:57:18,false,en,politifact.com
West Virginia University has “increased the amount of unfunded institutional aid provided to students and expects this amount to exceed $134 million in 2024.”,Paula Congelio,2023-06-23,2023-10-10 23:21:22,mixture,en,politifact.com
"The Biden administration “wanted Israel to stand down after the attack"" by Hamas. ",Tim Scott,2023-10-07,2023-10-10 23:25:23,mostly false,en,politifact.com
"""Derrick Van Orden is one of the only members of Congress who participated in the deadly January 6th insurrection. He now serves in the building he tried to burn down.""",Rebecca Cooke,2023-09-01,2023-10-11 13:31:07,mostly false,en,politifact.com
“The U.S. is sending $8 billion worth of military aid to Israel.”,Social media posts,2023-10-07,2023-10-11 19:02:53,false,en,politifact.com
Video shows pro-Palestine march in Chicago on Oct. 8.,TikTok video,2023-10-08,2023-10-11 19:24:36,false,en,politifact.com
